t,dsDNA488,dsDNA488647
0.7602176,8.61E-05,0.000576693
0.786432,0.000193703,0.000646121
0.8126464,0.000207504,1.58E-05
0.8388608,-0.000160391,0.00081328
0.8650752,-0.000445857,-0.000116027
0.8912896,0.000708295,0.00096965
0.917504,-0.000120936,-0.001464092
0.9437184,-0.000539813,0.000379979
0.9699328,0.000178981,-0.000408751
0.9961472,0.000121531,-0.001301937
1.0223616,0.000376473,-0.002167601
1.048576,-0.000187424,-0.000960894
1.1010048,0.000235593,-0.000443153
1.1534336,3.17E-05,0.001238294
1.2058624,-7.33E-05,-0.000317587
1.2582912,-0.00019944,0.001402326
1.31072,-0.000151596,0.00099248
1.3631488,-0.000437062,-0.000307893
1.4155776,-0.000197031,0.000249097
1.4680064,-0.000103995,0.000159028
1.5204352,-9.14E-05,0.000617505
1.572864,-0.000597913,0.000522432
1.6252928,-0.000325842,-0.000274117
1.6777216,-0.000323487,0.000262232
1.7301504,-8.31E-05,0.000779817
1.7825792,5.09E-06,-0.000159028
1.835008,-0.000165397,-0.001209991
1.8874368,0.000186802,0.000359807
1.9398656,0.000135711,-0.00085722
1.9922944,-0.000287117,0.001523357
2.0447232,-0.000114928,-0.000771217
2.097152,4.10E-05,-0.000478805
2.2020096,-2.46E-06,-0.00090116
2.3068672,-5.29E-05,-0.001819209
2.4117248,-0.000227258,-0.000213132
2.5165824,0.000190428,-0.001045959
2.62144,-4.90E-06,0.00032306
2.7262976,-8.66E-05,-0.000445967
2.8311552,-0.000172433,-0.001124926
2.9360128,-5.28E-06,-8.79E-05
3.0408704,-9.34E-05,0.000440651
3.145728,-0.000127133,-0.000394052
3.2505856,-0.000424073,-0.000962614
3.3554432,-0.000329062,-0.000663322
3.4603008,-0.000315288,-0.000192335
3.5651584,7.70E-05,-0.000338228
3.670016,-0.000227258,-0.000638302
3.7748736,-0.000136685,-0.000202968
3.8797312,0.000207801,-0.000956672
3.9845888,-0.000211346,0.00053244
4.0894464,-8.18E-05,-0.000825634
4.194304,1.91E-05,-0.001175433
4.4040192,6.22E-07,0.000314147
4.6137344,0.000108812,0.00049538
4.8234496,-0.000240599,-0.000731812
5.0331648,-0.000324597,0.000868635
5.24288,-0.000143342,-0.000296947
5.4525952,5.47E-05,0.000577162
5.6623104,-0.000144587,-0.000385139
5.8720256,-0.000406916,-0.000713204
6.0817408,-0.000535348,-0.000384357
6.291456,9.47E-06,-0.000678646
6.5011712,-0.000359018,0.000374193
6.7108864,6.87E-05,4.85E-05
6.9206016,0.00023378,0.000202968
7.1303168,0.000214404,-0.000231584
7.340032,-0.000176871,0.000530876
7.5497472,5.39E-06,0.000625167
7.7594624,2.14E-05,-3.47E-05
7.9691776,0.000300512,0.001004365
8.1788928,-0.000327222,-0.00054839
8.388608,0.0001034,0.000671296
